title,video_id,published_at,transcript
CYBERTRUCK VS FENCE ðŸ˜±,4UAr2NJkEjk,2026-02-05T09:22:00Z,"This driver tried to prove his Tesla was tough enough to plow through a set of fences without taking any damage. And at first, it seemed like he pulled it off, stepping out proudly and spotting only a few scratches. But then he heard water dripping from underneath. The fences had punctured the radiator, turning his test into a costly mistake."
They Filmed It in Pure SilenceðŸ˜‚,4MhSOVnJdkk,2026-02-04T08:37:08Z,"These little girls were filming a Tik Tok in the school bathroom when something insane happened. While they were dancing, a phone started recording them from behind the stalls. And people in the comments were worried for their safety. But then another post showed the phone's POV. >> These girls at my school are doing the baby boo dance in pure silence."
This Is How She Knows She Goes To Starbucks Too MuchðŸ˜‚,laemssiZ4aw,2026-02-02T19:00:19Z,"This is how she knows she goes to Starbucks too much. >> Good morning. Wish Korea. >> Good morning, Robbie. [clears throat] I'm >> shaking your thingy up right now. >> Okay. Thank you. Get"
Air Pressure on a Plane Made THIS Happen ðŸ˜±,9q-VQWaiu7U,2026-02-01T09:06:30Z,"Just look what happens when this girl decided to open a champagne bottle on the plane. Even though she hadn't shaken it, the liquid started bursting out. And this is because of the change in air pressure as the plane gets higher. But when this girl tried to open her chips, something insane happened."
This Is What a Professional Motorcycle Pit Stop Looks Like!,i0ZN2FgYkKs,2026-01-30T21:43:13Z,"This motorcycle pit crew is demonstrating how they execute a pit stop in record-breaking time. And if you're wondering how they perform during an actual race, this is how"
SHE PRANKED HIMðŸ˜‚,9aDnBqb7UaI,2026-01-29T09:12:14Z,"When this mom and her son were clipping a hair pin onto each other's tongue, she thought it was the perfect opportunity to play a prank on him. So, she quickly distracted him and swapped in a fake tongue and clipped that instead. And when she was ready, she told him to pull it off. But his reaction to what happened next left her completely speechless. >> Wa! Look at that. What? [laughter] I'm so sorry."
Secret Fishing HACKðŸ˜±,IpTV4K8icTU,2026-01-28T23:50:20Z,"This guy spotted thousands of fish all in one spot, so he jumped into the water in attempt to catch them with his shirt. Since he forgot his fishing rod at home, he had to improvise. And no one on the boat thought it would work until he did this. THIS IS A PAMARANT."
DONâ€™T CHECK THE SOUND ðŸ’€,0CCdNPj6N30,2026-01-27T23:23:04Z,"Her father thought they would solve this puzzle together, but it turns out she didn't need any help. Even though this is a very challenging puzzle that left plenty of adults scratching their head, she puts each piece perfectly in place like she's done it a hundred times before. And her dad can't help being proud of her little genius in action."
DONâ€™T CLICK THE SOUNDðŸ˜±,42LURo-KOkE,2026-01-26T22:33:37Z,"This guy found the most effective way to warn pedestrians that a bike is coming. >> Guys, when people are on the trail, I notice like a bell doesn't really work. [music] Saying like on your left doesn't really work, but if you just go a [screaming and groaning] Thank you. that works really well."
DONâ€™T CHECK THE SOUNDâŒ,niaC_TZUNQ4,2026-01-24T23:34:35Z,"After this guy was tired of buying fake honey, he decided to show us the craziest way to test if it's real. >> The way to make sure your honey is real, you take it, put it in a dish like this. Put about a nice amount in there. I'm going take some cold water just enough to cover it. And we're just going to go like this. Jostel it back and forth. Now, the cool thing about honey is it has a memory. Okay? Muscle like kind of like a muscle memory. See the magic happen before your own eyes. See what it's starting to do? It's starting to form something. Okay? And what do you think it's forming? It's forming the shape of a freaking honeycomb. Cuz that's where it was made. That's how you can tell the honey is real. Starting to make the honeycomb shape. One, two, three. Boom. Don't click the"
She Entertains The CrewðŸ˜‚,D3i52pbf22M,2026-01-23T23:27:42Z,"When these actors were performing the saddest scene in Frozen, the girl playing Anna always secretly did something hilarious. Because while the audience thought she was freezing to death, she used the opportunity to put on a hidden show for the crew. And after pulling a new face every time her head was hidden, she managed to turn the saddest part of the play into the funniest moment for everyone backstage."
The PERFECT RevengeðŸ˜ˆ,hVl12T9muvs,2026-01-22T21:13:29Z,"When this boy suddenly spotted his ex-girlfriend at a dancing competition, he pulled off a dirty move to throw her off balance, making sure she would pay for everything. But while he acted like nothing happened, she already had a plan for how to end his career. And with one silly move, she took all the spotlight and wiped the floor with him, literally."
His ReactionðŸ˜‚,I_-joGfL9FQ,2026-01-21T10:23:09Z,"When this guy fell asleep in his friend's car, he wanted to prank him by pretending that a truck that was actually just towed was coming straight at them. And his friend's reaction after waking up was hilarious. >> Oh my god, JACOB, WATCH OUT. LOOK, LOOK, LOOK."
The Waiters FaceðŸ˜‚,c-_vb-0EpRQ,2026-01-20T23:19:09Z,This girl cut a large slice from the all you can eat tiramisu. And you won't believe how much cake she got. But it turns out the restaurant wasn't too happy about this because just look at the waiter's reaction at the end.
DONâ€™T CHECK THE SOUNDðŸ’€,K3q3YO82eE8,2026-01-20T09:52:05Z,"She noticed a man who had jumped overboard from their ship and was barely visible. And the crew set up a rescue boat to save him. >> Oh my gosh, I see him. I see him. >> You see him on the way? >> Yeah, I heard it happen. But it only kept getting worse because after they got him on board, they did chest compressions and sadly he didn't make"
DONâ€™T CLICK THE SOUNDðŸ˜­,5_Ub9ax_JGU,2026-01-19T23:14:09Z,"When this little girl was at a concert, she was singing her heart out to the song. But the artist decided to have a random pause that she wasn't expecting, causing her to scream the next line all by herself and leaving her super embarrassed. [music] >> [cheering]"
DONâ€™T CLICK THE SOUNDðŸ’€,6vHxuvRRaF4,2026-01-18T22:44:29Z,This girl's brother recently became a pilot and he's flying her for the first time. But what he does next is just so adorable. >> This is a special for me. I got to fly my little sister back home. She's sitting in 16. It's 1 hour 10 minutes. Appreciate you guys joining us. Sit back. Enjoy. taking the
DONâ€™T CHECK THE SOUNDðŸ˜±,UDXTEGDM4cI,2026-01-17T22:17:19Z,"Whose is it? I know it's not mine. I already had all y'all, so now someone needs to fess up. >> This mom found a pregnancy test in her bathroom, but when she asked who it belonged to, something crazy happened. Can you guess who it was? >> It's in my bathroom. Whose is it? >> That's not mine. I've not had a boyfriend for like 2 months. I don't I don't know whose it is. Ain't mine. I haven't talked to a man in like 3 years. >> I don't even know what that's for. >> Come on, guys. You guys need to fess up. This is not okay. It's disgusting,"
DONâ€™T CHECK THE SOUNDâš ï¸,vJwX7TA26HY,2026-01-16T21:50:35Z,"They go to restaurants like these and order the all you can eat tiramisu, which allows you one scoop to take as much as you can. But these restaurants did this thinking people would just take a big slice for themselves. Except many people go here and take as much as they can. Even the amounts they cannot eat, they put it on their plates. But the catch is you can't pack it out for later. So whatever is left over on their plate, it has to be thrown"
WHAT DO YOU THINK? ðŸ¤”,dXDf4gr_eTY,2026-01-15T17:45:59Z,"When this guy couldn't decide whether his paint was gray or brown, he asked the internet for their opinion. >> All right, I'm painting my house and it's two different colors, which is really weird. And I thought maybe I used two different paint cans. But check this out. That's the lid of the paint can. It's clearly not the same as this. wash of this gray"
DONâ€™T CLICK THE SOUNDðŸ’€,nt5dYLXJvqs,2026-01-14T15:41:52Z,"When this girl bought this cup with a fox design on it, she had no idea how to drink with it because of the pointy ears. But after a few tries, she finally realized it was a pencil cup for a"
DONâ€™T CHECK THE SOUNDðŸš¨,MD27d30TA1k,2026-01-13T09:43:46Z,"This box is $300 and has an insane skill gap because the glass beads are heated to 350Â° and leaving a frame at even a few seconds too long can cause it to warp or mark. Every frame is different, so you can't just set a timer. Instead, the optitian moves the frame through the beads, evenly distributing heat and relies on feel. Once the material is just pliable, the lenses are fitted and the frame is left to"
DONâ€™T CLICK THE SOUNDðŸ˜±,2qSWaHH_bBg,2026-01-12T09:25:46Z,"This girl was just doing her makeup, but then her mom bursted into her room and did something crazy. >> And I just know that I got everyone in my family sick. >> Stop. Stop."
DONâ€™T CHECK THE SOUNDðŸ˜­,xhDGo0MY54U,2026-01-11T09:14:28Z,"This appliance is $2,000 and she was forced to get it installed because she didn't wear her rubber bands enough. It stays in the mouth 24 hours a day for about a year. Orthodontists love it because it doesn't rely on patient cooperation. It's impossible to remove, but once it's installed, hard and sticky foods are off limits, and one wrong bite can bend the hinges or pop the rods loose."
Laughing Without Smiling ðŸ˜‚,0p938ClcKno,2026-01-09T23:58:40Z,"This guy learned how to laugh without smiling. And when he told this to his girlfriend, she didn't believe him at first. So, he made sure to prove it. And it was hilarious. >> I learned how to laugh without smiling. >> You did not. >> And I want to show you, but first, you got to tell me a good joke. Second, if I can prove to you that I can do this, you got to leave me alone for the rest of the weekend because NBA just started. I'm trying to watch all the games. NFL is on going. You know how that is. Just tell me a joke. >> Okay. Why can't you trust the king of the jungle? >> Why not? cuz he always be lying. GIRL, don't click the"
